condition,buffalo_acc,buffalo_detect,antelope_acc,antelope_detect,lbp_acc,lbp_detect
original,0.0,0.0,0.0,0.0,0.07,1.0
brightness_0.8,0.0,0.0,0.0,0.0,0.06,1.0
brightness_0.6,0.0,0.0,0.0,0.0,0.05,1.0
gaussian_noise_5,0.0,0.0,0.0,0.0,0.05,1.0
gaussian_noise_15,0.0,0.0,0.0,0.0,0.04,1.0
gaussian_noise_25,0.0,0.0,0.0,0.0,0.04,1.0
blur_3,0.0,0.0,0.0,0.0,0.05,1.0
blur_7,0.0,0.0,0.0,0.0,0.07,1.0
blur_11,0.0,0.0,0.0,0.0,0.07,1.0
jpeg_90,0.0,0.0,0.0,0.0,0.06,1.0
jpeg_50,0.0,0.0,0.0,0.0,0.06,1.0
jpeg_20,0.0,0.0,0.0,0.0,0.04,1.0
eye_bar,0.0,0.0,0.0,0.0,0.04,1.0
mouth_mask,0.0,0.0,0.0,0.0,0.03,1.0
full_mask,0.0,0.0,0.0,0.0,0.04,1.0
